# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     68.99     -75.36       2.00       0.00       0.00       2.95       1.10     -10.00       2.78    8.632  '/tmp/tmpss1ERn/gold_soln_actives_final_m1_4.mol2'            'CHEMBL1081852'
     75.61     -73.30       1.00       0.00       0.00       0.00       0.37      -0.00       0.06    5.344  '/tmp/tmpss1ERn/gold_soln_actives_final_m2_3.mol2'             'CHEMBL469561'
     74.54     -68.06       3.00       0.00       0.00       0.00       1.32      -0.00       0.10    6.556  '/tmp/tmpss1ERn/gold_soln_actives_final_m3_2.mol2'             'CHEMBL469561'
     74.44     -74.82       1.00       0.00       0.00       0.56       1.99      -0.00       1.16   10.020  '/tmp/tmpss1ERn/gold_soln_actives_final_m4_4.mol2'             'CHEMBL576386'
     75.26     -74.99       1.00       0.00       0.00       0.01       2.07      -0.00       1.41   10.200  '/tmp/tmpss1ERn/gold_soln_actives_final_m5_3.mol2'             'CHEMBL576386'
     68.97     -76.46       1.74       0.00       0.00       0.00       1.82     -10.00       0.86    7.800  '/tmp/tmpss1ERn/gold_soln_actives_final_m6_3.mol2'             'CHEMBL577134'
     67.70     -79.65       1.00       0.00       0.00       0.00       2.94     -10.00       0.94    7.896  '/tmp/tmpss1ERn/gold_soln_actives_final_m7_5.mol2'             'CHEMBL575824'
     79.58     -81.62       0.57       0.00       0.00       2.37       1.39      -0.00       1.41    8.108  '/tmp/tmpss1ERn/gold_soln_actives_final_m8_2.mol2'             'CHEMBL577379'
     77.99     -77.81       0.93       0.00       0.00       1.19       1.40      -0.00       1.12   10.004  '/tmp/tmpss1ERn/gold_soln_actives_final_m9_2.mol2'             'CHEMBL577379'
     84.10     -83.56       1.00       0.00       0.00       0.00       1.83      -0.00       1.20   10.632  '/tmp/tmpss1ERn/gold_soln_actives_final_m10_4.mol2'             'CHEMBL573096'
     87.87     -93.40       0.00       0.00       0.00       0.00       3.49      -0.00       1.03   10.776  '/tmp/tmpss1ERn/gold_soln_actives_final_m11_3.mol2'             'CHEMBL573096'
     74.20     -74.23       0.98       0.80       0.00       1.19       2.51      -0.00       0.88    9.884  '/tmp/tmpss1ERn/gold_soln_actives_final_m12_5.mol2'             'CHEMBL573326'
     77.06     -76.75       0.91       0.00       0.00       0.41       1.51      -0.00       1.00   10.120  '/tmp/tmpss1ERn/gold_soln_actives_final_m13_2.mol2'             'CHEMBL573326'
     73.12     -73.40       0.00       0.99       0.00       0.04       2.77      -0.00       2.15    9.836  '/tmp/tmpss1ERn/gold_soln_actives_final_m14_3.mol2'             'CHEMBL574269'
     73.73     -71.99       0.96       0.88       0.00       1.64       2.36      -0.00       2.02    9.752  '/tmp/tmpss1ERn/gold_soln_actives_final_m15_1.mol2'             'CHEMBL574269'
     58.32     -56.81       1.00       0.00       0.00       1.48       2.42      -0.00       4.66    9.028  '/tmp/tmpss1ERn/gold_soln_actives_final_m16_3.mol2'             'CHEMBL276130'
     71.53     -77.50       0.00       0.00       0.00       1.03       3.00      -0.00       1.00    4.900  '/tmp/tmpss1ERn/gold_soln_actives_final_m17_1.mol2'             'CHEMBL574268'
     72.67     -68.83       0.90       1.63       0.00       0.00       2.38      -0.00       1.03    7.796  '/tmp/tmpss1ERn/gold_soln_actives_final_m18_5.mol2'             'CHEMBL577377'
