# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     59.11     -57.38       1.00       0.00       0.00       2.96       0.89      -0.00       3.19    0.488  '/tmp/tmpkJh2xL/gold_soln_actives_final_m1_1.mol2'            'CHEMBL1081852'
     81.70     -68.19       3.92       0.94       0.00       0.00       0.73      -0.00       0.37    0.272  '/tmp/tmpkJh2xL/gold_soln_actives_final_m2_4.mol2'             'CHEMBL469561'
     68.78     -62.19       2.98       0.00       0.00       1.66       0.60      -0.00       0.38    0.348  '/tmp/tmpkJh2xL/gold_soln_actives_final_m3_3.mol2'             'CHEMBL469561'
     65.73     -64.49       1.00       0.00       0.00       1.39       1.21      -0.00       1.07    0.556  '/tmp/tmpkJh2xL/gold_soln_actives_final_m4_1.mol2'             'CHEMBL576386'
     59.60     -57.98       1.00       0.41       0.00       0.26       1.66      -0.00       0.98    0.564  '/tmp/tmpkJh2xL/gold_soln_actives_final_m5_2.mol2'             'CHEMBL576386'
     67.46     -65.36       1.00       0.00       0.00       0.07       1.05      -0.00       1.08    0.484  '/tmp/tmpkJh2xL/gold_soln_actives_final_m6_1.mol2'             'CHEMBL577134'
     64.07     -62.63       1.00       0.00       0.00       0.00       1.33      -0.00       1.09    0.496  '/tmp/tmpkJh2xL/gold_soln_actives_final_m7_5.mol2'             'CHEMBL575824'
     57.88     -66.26       0.00       1.25       0.00       1.15       1.32     -10.00       1.26    0.552  '/tmp/tmpkJh2xL/gold_soln_actives_final_m8_1.mol2'             'CHEMBL577379'
     57.08     -55.21       0.84       0.44       0.00       0.89       1.29      -0.00       1.50    0.548  '/tmp/tmpkJh2xL/gold_soln_actives_final_m9_5.mol2'             'CHEMBL577379'
     58.15     -53.43       1.97       0.00       0.00       1.38       0.72      -0.00       1.65    0.628  '/tmp/tmpkJh2xL/gold_soln_actives_final_m10_1.mol2'             'CHEMBL573096'
     53.24     -57.07       1.00       0.00       0.00       2.57       2.78      -0.00       1.30    0.612  '/tmp/tmpkJh2xL/gold_soln_actives_final_m11_4.mol2'             'CHEMBL573096'
     65.63     -56.16       2.94       0.67       0.00       1.39       0.92      -0.00       1.86    0.588  '/tmp/tmpkJh2xL/gold_soln_actives_final_m12_5.mol2'             'CHEMBL573326'
     68.10     -61.56       1.58       0.64       0.00       0.00       1.16      -0.00       1.67    0.568  '/tmp/tmpkJh2xL/gold_soln_actives_final_m13_1.mol2'             'CHEMBL573326'
     59.48     -61.07       1.00       0.00       0.00       1.38       2.95      -0.00       2.67    0.516  '/tmp/tmpkJh2xL/gold_soln_actives_final_m14_4.mol2'             'CHEMBL574269'
     65.38     -63.95       1.83       0.00       0.00       0.00       3.13      -0.00       2.18    0.532  '/tmp/tmpkJh2xL/gold_soln_actives_final_m15_5.mol2'             'CHEMBL574269'
     48.63     -52.87       0.72       0.00       0.00       6.91       2.67      -0.00       5.85    0.512  '/tmp/tmpkJh2xL/gold_soln_actives_final_m16_2.mol2'             'CHEMBL276130'
     66.84     -62.81       2.33       0.00       0.00       1.14       1.67      -0.00       1.08    0.504  '/tmp/tmpkJh2xL/gold_soln_actives_final_m17_3.mol2'             'CHEMBL574268'
     61.65     -62.72       0.99       0.00       0.00       1.16       2.29      -0.00       1.51    0.488  '/tmp/tmpkJh2xL/gold_soln_actives_final_m18_3.mol2'             'CHEMBL577377'
     58.52     -64.41       2.00       0.83       0.00       1.45       4.16     -10.00       5.40    0.592  '/tmp/tmpkJh2xL/gold_soln_actives_final_m19_3.mol2'             'CHEMBL596072'
     62.09     -58.63       3.00       0.00       0.00       1.31       2.70      -0.00       1.17    0.616  '/tmp/tmpkJh2xL/gold_soln_actives_final_m20_3.mol2'            'CHEMBL1098938'
     53.38     -48.59       1.98       0.45       0.00       1.27       3.28      -0.00       5.20    0.608  '/tmp/tmpkJh2xL/gold_soln_actives_final_m21_1.mol2'             'CHEMBL603197'
     57.71     -51.36       2.91       0.00       0.00       0.55       2.96      -0.00       3.00    0.732  '/tmp/tmpkJh2xL/gold_soln_actives_final_m22_3.mol2'            'CHEMBL1095612'
     63.34     -59.15       1.78       1.18       0.00       5.49       2.45      -0.00       4.83    0.596  '/tmp/tmpkJh2xL/gold_soln_actives_final_m23_1.mol2'             'CHEMBL596073'
     34.31     -52.66       0.00       0.00       0.00      19.11       2.19      -0.00       5.13    0.516  '/tmp/tmpkJh2xL/gold_soln_actives_final_m24_4.mol2'             'CHEMBL253457'
     58.60     -54.64       2.72       0.00       0.00       2.70       1.37      -0.00       0.97    0.380  '/tmp/tmpkJh2xL/gold_soln_actives_final_m25_2.mol2'             'CHEMBL470410'
     69.99     -65.41       2.00       0.84       0.00       2.28       1.55      -0.00       1.34    0.444  '/tmp/tmpkJh2xL/gold_soln_actives_final_m26_2.mol2'             'CHEMBL470410'
     52.49     -51.11       0.99       0.00       0.00       0.50       3.58      -0.00       5.90    0.536  '/tmp/tmpkJh2xL/gold_soln_actives_final_m27_2.mol2'             'CHEMBL252259'
     57.33     -56.98       1.00       0.00       0.00       0.00       3.97      -0.00       5.30    0.540  '/tmp/tmpkJh2xL/gold_soln_actives_final_m28_4.mol2'             'CHEMBL252259'
     72.87     -78.67       2.52       0.00       0.00       0.79       1.96     -10.00       1.30    0.464  '/tmp/tmpkJh2xL/gold_soln_actives_final_m29_3.mol2'             'CHEMBL210740'
     52.92     -56.97       0.31       1.02       0.00       6.45       2.61      -0.00       2.61    0.664  '/tmp/tmpkJh2xL/gold_soln_actives_final_m30_1.mol2'             'CHEMBL211774'
     53.22     -58.56       2.07       0.00       0.00      13.40       0.87      -0.00       3.41    0.672  '/tmp/tmpkJh2xL/gold_soln_actives_final_m31_2.mol2'             'CHEMBL211774'
     30.08     -53.85       0.00       0.00       0.00      18.71       5.01      -0.00       4.96    0.652  '/tmp/tmpkJh2xL/gold_soln_actives_final_m32_3.mol2'            'CHEMBL1204096'
     43.87     -52.86       2.00       0.00       0.00       0.00       4.94     -10.00       4.90    0.656  '/tmp/tmpkJh2xL/gold_soln_actives_final_m33_5.mol2'            'CHEMBL1204096'
     51.30     -65.98       0.00       0.00       0.00      13.35       2.49      -0.00       3.65    0.612  '/tmp/tmpkJh2xL/gold_soln_actives_final_m34_3.mol2'            'CHEMBL1204095'
     61.96     -60.34       1.00       0.19       0.00       2.34       1.43      -0.00       3.23    0.448  '/tmp/tmpkJh2xL/gold_soln_actives_final_m35_4.mol2'            'CHEMBL1081853'
     67.15     -63.75       1.00       1.00       0.00       0.00       2.21      -0.00       1.75    0.456  '/tmp/tmpkJh2xL/gold_soln_actives_final_m36_4.mol2'             'CHEMBL205410'
     40.80     -45.04       0.68       0.00       0.00       5.82       2.17      -0.00       3.86    0.648  '/tmp/tmpkJh2xL/gold_soln_actives_final_m37_2.mol2'             'CHEMBL210209'
     51.69     -68.94       1.63       0.89       0.00      15.35       1.41     -10.00       3.32    0.664  '/tmp/tmpkJh2xL/gold_soln_actives_final_m38_5.mol2'             'CHEMBL210209'
     46.26     -56.52       3.00       0.31       0.00      19.04       4.20      -0.00       3.62    0.692  '/tmp/tmpkJh2xL/gold_soln_actives_final_m39_1.mol2'             'CHEMBL210209'
     61.00     -62.18       1.11       1.94       0.00       6.89       3.55      -0.00       3.56    0.696  '/tmp/tmpkJh2xL/gold_soln_actives_final_m40_3.mol2'             'CHEMBL210209'
     74.12     -59.59       4.00       1.62       0.00       1.22       1.47      -0.00       1.84    0.472  '/tmp/tmpkJh2xL/gold_soln_actives_final_m41_4.mol2'             'CHEMBL206183'
     67.91     -53.85       3.00       1.90       0.00       0.78       0.74      -0.00       1.27    0.408  '/tmp/tmpkJh2xL/gold_soln_actives_final_m42_2.mol2'             'CHEMBL210020'
     61.14     -57.16       1.98       0.00       0.00       0.91       1.36      -0.00       1.19    0.524  '/tmp/tmpkJh2xL/gold_soln_actives_final_m43_1.mol2'             'CHEMBL576135'
     29.23     -48.54       0.00       0.00       0.00      10.50       1.54     -10.00       4.28    0.512  '/tmp/tmpkJh2xL/gold_soln_actives_final_m44_2.mol2'             'CHEMBL575448'
     49.36     -62.31       0.43       0.00       0.00       2.60       2.77     -10.00       3.89    0.488  '/tmp/tmpkJh2xL/gold_soln_actives_final_m45_4.mol2'             'CHEMBL575448'
     44.95     -50.18       0.96       0.00       0.00       5.07       4.54      -0.00       5.98    0.656  '/tmp/tmpkJh2xL/gold_soln_actives_final_m46_1.mol2'             'CHEMBL603852'
     33.79     -47.47       0.06       0.64       0.00      14.43       3.69      -0.00       5.74    0.620  '/tmp/tmpkJh2xL/gold_soln_actives_final_m47_4.mol2'             'CHEMBL603852'
     39.94     -32.51       2.94       1.00       0.00       0.04       4.43      -0.00       4.49    0.600  '/tmp/tmpkJh2xL/gold_soln_actives_final_m48_1.mol2'             'CHEMBL603852'
     36.16     -38.21       1.33       0.99       0.00       8.42       2.41      -0.00       4.12    0.576  '/tmp/tmpkJh2xL/gold_soln_actives_final_m49_4.mol2'             'CHEMBL603852'
     43.85     -56.76       0.00       0.00       0.00       0.00       4.34     -10.00       5.77    0.632  '/tmp/tmpkJh2xL/gold_soln_actives_final_m50_4.mol2'             'CHEMBL603852'
     46.74     -47.70       0.00       0.00       0.00       0.00       3.35      -0.00       5.74    0.708  '/tmp/tmpkJh2xL/gold_soln_actives_final_m51_5.mol2'             'CHEMBL603852'
