# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     77.41     -73.76       1.80       0.00       0.00       2.90       1.03       2.95    1.040  '/tmp/tmpOBu85K/gold_soln_actives_final_m1_1.mol2'            'CHEMBL1081852'
     68.66     -67.97       1.00       0.00       0.00       0.00       1.42       0.30    0.816  '/tmp/tmpOBu85K/gold_soln_actives_final_m2_1.mol2'             'CHEMBL469561'
     74.68     -68.10       2.00       1.00       0.00       1.39       0.60       0.18    0.852  '/tmp/tmpOBu85K/gold_soln_actives_final_m3_4.mol2'             'CHEMBL469561'
     79.03     -80.56       0.00       0.74       0.00       1.20       2.12       1.07    1.196  '/tmp/tmpOBu85K/gold_soln_actives_final_m4_1.mol2'             'CHEMBL576386'
     69.69     -75.00       0.21       0.00       0.00       0.63       3.49       1.55    1.232  '/tmp/tmpOBu85K/gold_soln_actives_final_m5_4.mol2'             'CHEMBL576386'
     73.98     -67.59       3.21       0.00       0.00       1.34       1.53       1.19    1.004  '/tmp/tmpOBu85K/gold_soln_actives_final_m6_3.mol2'             'CHEMBL577134'
     73.08     -71.03       2.18       0.00       0.00       0.90       2.43       1.28    1.028  '/tmp/tmpOBu85K/gold_soln_actives_final_m7_5.mol2'             'CHEMBL575824'
     68.10     -59.94       2.90       0.00       0.00       1.03       0.66       1.29    1.220  '/tmp/tmpOBu85K/gold_soln_actives_final_m8_2.mol2'             'CHEMBL577379'
     84.58     -86.77       0.00       0.00       0.00       0.00       1.98       1.76    1.212  '/tmp/tmpOBu85K/gold_soln_actives_final_m9_2.mol2'             'CHEMBL577379'
     67.02     -68.02       0.50       0.85       0.00       0.07       3.20       1.44    1.316  '/tmp/tmpOBu85K/gold_soln_actives_final_m10_2.mol2'             'CHEMBL573096'
     70.70     -72.95       0.00       0.97       0.00       1.36       2.87       1.88    1.364  '/tmp/tmpOBu85K/gold_soln_actives_final_m11_3.mol2'             'CHEMBL573096'
     77.61     -81.26       0.08       0.00       0.00       0.00       2.44       1.00    1.272  '/tmp/tmpOBu85K/gold_soln_actives_final_m12_4.mol2'             'CHEMBL573326'
     73.75     -69.13       1.00       1.15       0.00       0.16       1.57       1.48    1.252  '/tmp/tmpOBu85K/gold_soln_actives_final_m13_5.mol2'             'CHEMBL573326'
