,Score,S(PLP),S(hbond),S(cho),S(metal),DE(clash),DE(tors),DE(con),intcor,time,File name,Ligand name,actives
1,63.97,-56.46,3.00,0.00,0.00,0.00,1.61,-0.00,1.73,0.667,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m2_1.mol2','ZINC01580935',<map object at 0x7f33c9533d50>
5,62.61,-74.73,0.00,0.00,0.00,0.79,1.09,-10.00,0.37,1.065,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m6_2.mol2','ZINC00915167',<map object at 0x7f33c9533d50>
3,55.53,-53.97,1.00,0.00,0.00,1.40,0.57,-0.00,1.10,0.836,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m4_3.mol2','ZINC06453155',<map object at 0x7f33c9533d50>
4,54.06,-61.72,0.00,0.82,0.00,0.00,1.25,-10.00,2.40,0.707,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m5_2.mol2','ZINC08556714',<map object at 0x7f33c9533d50>
6,54.01,-49.60,2.00,0.00,0.00,26.23,1.81,-0.00,28.25,1.075,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m7_5.mol2','ZINC13638209',<map object at 0x7f33c9533d50>
0,50.94,-59.92,0.64,0.00,0.00,1.57,0.36,-10.00,1.15,0.778,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m1_1.mol2','ZINC01891926',<map object at 0x7f33c9533d50>
8,48.32,-58.02,0.93,0.00,0.00,0.00,1.33,-10.00,0.18,0.802,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m9_4.mol2','ZINC14003249',<map object at 0x7f33c9533d50>
2,45.94,-60.10,0.00,0.00,0.00,1.97,1.68,-10.00,1.16,0.823,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m3_4.mol2','ZINC02690713',<map object at 0x7f33c9533d50>
7,43.81,-43.82,0.00,0.00,0.00,0.00,0.05,-0.00,0.09,0.520,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m8_3.mol2','ZINC13977156',<map object at 0x7f33c9533d50>
9,42.37,-47.37,2.00,0.00,0.00,0.00,0.51,-10.00,0.02,0.473,'/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m10_1.mol2','ZINC14018129',<map object at 0x7f33c9533d50>
