# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     52.26     -60.37       0.86       0.00       0.00       0.00       0.94     -10.00       1.17    0.799  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m1_5.mol2'             'ZINC01891926'
     63.32     -57.42       2.00       0.00       0.00       0.00       1.13      -0.00       1.97    0.643  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m2_2.mol2'             'ZINC01580935'
     47.23     -59.07       0.00       0.00       0.00       0.00       1.70     -10.00       1.32    0.802  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m3_3.mol2'             'ZINC02690713'
     55.47     -54.01       1.00       0.00       0.00       1.08       0.70      -0.00       0.95    0.464  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m4_3.mol2'             'ZINC06453155'
     53.18     -60.85       0.00       1.00       0.00       0.00       1.46     -10.00       2.26    1.081  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m5_5.mol2'             'ZINC08556714'
     62.89     -76.89       0.00       0.00       0.00       0.46       1.84     -10.00       0.13    1.004  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m6_5.mol2'             'ZINC00915167'
     53.11     -49.19       2.00       0.00       0.00      26.23       2.00      -0.00      28.15    0.607  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m7_2.mol2'             'ZINC13638209'
     43.51     -43.71       0.00       0.00       0.00       0.00       0.14      -0.00       0.08    0.574  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m8_2.mol2'             'ZINC13977156'
     39.96     -48.40       1.00       0.00       0.00       0.00       0.76     -10.00       0.06    0.803  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m9_1.mol2'             'ZINC14003249'
     41.56     -46.94       2.00       0.00       0.00       0.00       0.70     -10.00       0.02    0.681  '/vagrant/github_pkgs/hotspots/examples/2_docking/virtual_screening/results/search_10/weight_10/all/gold_soln_test_m10_1.mol2'             'ZINC14018129'
