# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     63.57     -65.13       1.00       0.00       0.00       2.92       2.56      -0.00       3.27    1.180  '/tmp/tmp2BdK65/gold_soln_actives_final_m1_2.mol2'            'CHEMBL1081852'
     80.97     -75.85       2.00       0.51       0.00       0.74       1.16      -0.00       0.06    0.760  '/tmp/tmp2BdK65/gold_soln_actives_final_m2_1.mol2'             'CHEMBL469561'
     73.69     -63.96       4.00       0.93       0.00       2.56       1.36      -0.00       0.20    0.940  '/tmp/tmp2BdK65/gold_soln_actives_final_m3_4.mol2'             'CHEMBL469561'
     72.27     -65.16       2.93       0.00       0.00       0.23       1.54      -0.00       1.64    1.388  '/tmp/tmp2BdK65/gold_soln_actives_final_m4_2.mol2'             'CHEMBL576386'
     69.86     -62.86       3.00       0.72       0.00       0.18       3.05      -0.00       1.78    1.396  '/tmp/tmp2BdK65/gold_soln_actives_final_m5_1.mol2'             'CHEMBL576386'
     75.30     -75.13       1.00       0.00       0.00       0.14       2.27      -0.00       1.21    1.096  '/tmp/tmp2BdK65/gold_soln_actives_final_m6_1.mol2'             'CHEMBL577134'
     72.17     -63.28       3.00       1.04       0.00       0.48       2.09      -0.00       1.13    1.160  '/tmp/tmp2BdK65/gold_soln_actives_final_m7_1.mol2'             'CHEMBL575824'
     75.04     -75.48       0.98       0.00       0.00       0.00       2.60      -0.00       1.77    1.412  '/tmp/tmp2BdK65/gold_soln_actives_final_m8_3.mol2'             'CHEMBL577379'
     69.77     -60.88       3.00       0.91       0.00       0.49       2.04      -0.00       1.72    1.364  '/tmp/tmp2BdK65/gold_soln_actives_final_m9_2.mol2'             'CHEMBL577379'
     82.37     -81.85       0.00       0.83       0.00       0.52       1.47      -0.00       1.51    1.492  '/tmp/tmp2BdK65/gold_soln_actives_final_m10_5.mol2'             'CHEMBL573096'
     65.97     -75.91       1.00       1.87       0.00      13.97       3.10      -0.00       1.42    1.436  '/tmp/tmp2BdK65/gold_soln_actives_final_m11_1.mol2'             'CHEMBL573096'
     72.66     -68.97       0.80       0.99       0.00       0.00       1.51      -0.00       1.32    1.372  '/tmp/tmp2BdK65/gold_soln_actives_final_m12_5.mol2'             'CHEMBL573326'
     70.72     -68.71       1.00       1.00       0.00       0.69       2.45      -0.00       1.61    1.364  '/tmp/tmp2BdK65/gold_soln_actives_final_m13_2.mol2'             'CHEMBL573326'
     71.74     -72.95       1.00       0.00       0.00       0.26       3.25      -0.00       2.55    1.276  '/tmp/tmp2BdK65/gold_soln_actives_final_m14_4.mol2'             'CHEMBL574269'
     88.39     -84.87       1.00       1.24       0.00       0.00       3.07      -0.00       2.68    1.304  '/tmp/tmp2BdK65/gold_soln_actives_final_m15_3.mol2'             'CHEMBL574269'
     53.90     -51.91       4.00       0.00       0.00       9.95       2.68      -0.00       5.29    0.756  '/tmp/tmp2BdK65/gold_soln_actives_final_m16_2.mol2'             'CHEMBL276130'
     72.19     -63.36       2.94       1.00       0.00       0.77       1.58      -0.00       0.93    1.176  '/tmp/tmp2BdK65/gold_soln_actives_final_m17_5.mol2'             'CHEMBL574268'
     70.41     -62.02       2.98       1.07       0.00       0.49       2.43      -0.00       1.21    1.152  '/tmp/tmp2BdK65/gold_soln_actives_final_m18_1.mol2'             'CHEMBL577377'
     63.71     -59.82       1.04       1.00       0.00       0.89       3.59      -0.00       5.84    1.480  '/tmp/tmp2BdK65/gold_soln_actives_final_m19_5.mol2'             'CHEMBL596072'
     68.97     -61.39       3.11       0.00       0.00       0.00       1.39      -0.00       0.96    1.824  '/tmp/tmp2BdK65/gold_soln_actives_final_m20_1.mol2'            'CHEMBL1098938'
     58.49     -57.91       1.19       0.90       0.00       6.57       2.23      -0.00       4.83    1.564  '/tmp/tmp2BdK65/gold_soln_actives_final_m21_1.mol2'             'CHEMBL603197'
     54.86     -65.90       0.00       1.00       0.00       1.64       2.69     -10.00       2.87    1.676  '/tmp/tmp2BdK65/gold_soln_actives_final_m22_3.mol2'            'CHEMBL1095612'
     74.67     -69.03       1.00       1.15       0.00       0.81       2.58      -0.00       5.15    0.880  '/tmp/tmp2BdK65/gold_soln_actives_final_m23_3.mol2'             'CHEMBL596073'
     31.01     -33.80       0.11       0.00       0.00       2.02       2.75      -0.00       4.39    1.104  '/tmp/tmp2BdK65/gold_soln_actives_final_m24_3.mol2'             'CHEMBL253457'
     72.68     -65.31       2.00       0.94       0.00       1.67       0.59      -0.00       1.41    0.564  '/tmp/tmp2BdK65/gold_soln_actives_final_m25_3.mol2'             'CHEMBL470410'
     75.69     -71.37       1.99       0.38       0.00       1.79       1.54      -0.00       1.58    0.892  '/tmp/tmp2BdK65/gold_soln_actives_final_m26_1.mol2'             'CHEMBL470410'
     67.52     -59.73       2.00       1.00       0.00       0.04       3.50      -0.00       5.83    0.848  '/tmp/tmp2BdK65/gold_soln_actives_final_m27_3.mol2'             'CHEMBL252259'
     65.41     -64.66       1.00       0.00       0.00       0.00       3.95      -0.00       4.96    1.392  '/tmp/tmp2BdK65/gold_soln_actives_final_m28_3.mol2'             'CHEMBL252259'
     77.48     -66.94       4.17       0.02       0.00       0.50       1.19      -0.00       0.87    1.136  '/tmp/tmp2BdK65/gold_soln_actives_final_m29_4.mol2'             'CHEMBL210740'
     61.67     -63.67       0.80       0.00       0.00       3.62       1.83      -0.00       2.40    1.792  '/tmp/tmp2BdK65/gold_soln_actives_final_m30_4.mol2'             'CHEMBL211774'
     58.32     -58.41       1.00       1.91       0.00       5.24       3.78      -0.00       2.93    1.812  '/tmp/tmp2BdK65/gold_soln_actives_final_m31_1.mol2'             'CHEMBL211774'
     70.05     -80.72       0.09       0.00       0.00      10.72       2.53      -0.00       4.76    1.580  '/tmp/tmp2BdK65/gold_soln_actives_final_m32_1.mol2'            'CHEMBL1204096'
     58.94     -62.67       0.19       0.00       0.00       3.92       2.61      -0.00       4.84    1.628  '/tmp/tmp2BdK65/gold_soln_actives_final_m33_2.mol2'            'CHEMBL1204096'
     49.95     -59.10       0.00       0.00       0.00       8.51       2.67      -0.00       3.92    1.396  '/tmp/tmp2BdK65/gold_soln_actives_final_m34_1.mol2'            'CHEMBL1204095'
     70.30     -71.48       1.00       0.00       0.00       2.89       2.37      -0.00       3.22    1.096  '/tmp/tmp2BdK65/gold_soln_actives_final_m35_1.mol2'            'CHEMBL1081853'
     69.57     -66.24       1.00       1.00       0.00       0.00       2.16      -0.00       1.37    1.200  '/tmp/tmp2BdK65/gold_soln_actives_final_m36_1.mol2'             'CHEMBL205410'
     63.41     -68.77       0.00       1.00       0.00       6.52       2.19      -0.00       2.53    1.756  '/tmp/tmp2BdK65/gold_soln_actives_final_m37_5.mol2'             'CHEMBL210209'
     77.54     -72.20       1.00       1.00       0.00       0.06       1.30      -0.00       1.72    1.800  '/tmp/tmp2BdK65/gold_soln_actives_final_m38_1.mol2'             'CHEMBL210209'
     69.86     -68.24       1.74       0.00       0.00       1.12       3.09      -0.00       3.70    1.836  '/tmp/tmp2BdK65/gold_soln_actives_final_m39_5.mol2'             'CHEMBL210209'
     69.14     -60.13       3.91       0.00       0.00       0.03       2.80      -0.00       1.86    1.836  '/tmp/tmp2BdK65/gold_soln_actives_final_m40_1.mol2'             'CHEMBL210209'
     72.80     -64.92       1.00       2.73       0.00       0.00       2.34      -0.00       1.37    1.108  '/tmp/tmp2BdK65/gold_soln_actives_final_m41_2.mol2'             'CHEMBL206183'
     72.33     -65.57       3.00       0.86       0.00       1.29       2.52      -0.00       1.25    0.996  '/tmp/tmp2BdK65/gold_soln_actives_final_m42_2.mol2'             'CHEMBL210020'
     67.26     -61.73       3.00       0.00       0.00       0.92       1.73      -0.00       0.91    1.316  '/tmp/tmp2BdK65/gold_soln_actives_final_m43_4.mol2'             'CHEMBL576135'
     46.28     -60.24       0.00       0.00       0.00       4.31       1.54     -10.00       3.45    1.108  '/tmp/tmp2BdK65/gold_soln_actives_final_m44_4.mol2'             'CHEMBL575448'
     48.24     -63.10       0.00       0.00       0.00       5.51       2.27     -10.00       4.80    1.088  '/tmp/tmp2BdK65/gold_soln_actives_final_m45_1.mol2'             'CHEMBL575448'
     31.01     -33.74       0.05       0.00       0.00       0.24       4.23      -0.00       5.83    1.420  '/tmp/tmp2BdK65/gold_soln_actives_final_m46_2.mol2'             'CHEMBL603852'
     42.80     -58.81       0.00       0.00       0.00       6.56       2.56     -10.00       5.47    1.448  '/tmp/tmp2BdK65/gold_soln_actives_final_m47_1.mol2'             'CHEMBL603852'
     46.79     -39.98       2.70       0.10       0.00       0.03       2.94      -0.00       4.32    1.148  '/tmp/tmp2BdK65/gold_soln_actives_final_m48_4.mol2'             'CHEMBL603852'
     50.99     -47.60       1.00       0.76       0.00       0.05       3.18      -0.00       4.20    1.440  '/tmp/tmp2BdK65/gold_soln_actives_final_m49_2.mol2'             'CHEMBL603852'
     48.41     -50.52       0.00       1.00       0.00       2.98       3.88      -0.00       5.64    1.460  '/tmp/tmp2BdK65/gold_soln_actives_final_m50_4.mol2'             'CHEMBL603852'
     48.12     -53.02       0.00       0.23       0.00       3.03       4.04      -0.00       5.53    1.128  '/tmp/tmp2BdK65/gold_soln_actives_final_m51_1.mol2'             'CHEMBL603852'
     49.41     -50.91       0.54       0.00       0.00       0.00       3.83      -0.00       4.50    1.396  '/tmp/tmp2BdK65/gold_soln_actives_final_m52_1.mol2'             'CHEMBL603852'
     40.26     -42.35       0.00       0.00       0.00       0.20       3.03      -0.00       4.17    1.432  '/tmp/tmp2BdK65/gold_soln_actives_final_m53_3.mol2'             'CHEMBL603852'
     44.29     -34.82       3.28       0.00       0.00       2.85       1.34      -0.00       5.15    0.508  '/tmp/tmp2BdK65/gold_soln_actives_final_m54_2.mol2'             'CHEMBL228654'
     72.49     -70.12       1.28       0.00       0.00       0.12       1.42      -0.00       1.08    1.228  '/tmp/tmp2BdK65/gold_soln_actives_final_m55_3.mol2'             'CHEMBL211084'
