# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     79.54     -70.12       3.49       0.00       0.00       0.33       1.99       2.86    6.964  '/tmp/tmp5ahV_7/gold_soln_actives_final_m1_3.mol2'            'CHEMBL1081852'
     81.80     -69.17       3.73       0.95       0.00       0.00       0.78       0.17    5.412  '/tmp/tmp5ahV_7/gold_soln_actives_final_m2_3.mol2'             'CHEMBL469561'
     79.96     -72.27       2.00       0.95       0.00       0.10       0.59       0.11    6.772  '/tmp/tmp5ahV_7/gold_soln_actives_final_m3_4.mol2'             'CHEMBL469561'
     80.99     -78.04       2.00       0.00       0.00       1.23       1.65       1.32   10.464  '/tmp/tmp5ahV_7/gold_soln_actives_final_m4_3.mol2'             'CHEMBL576386'
     84.20     -86.63       0.83       0.00       0.00       1.45       2.43       1.13   10.644  '/tmp/tmp5ahV_7/gold_soln_actives_final_m5_2.mol2'             'CHEMBL576386'
     79.85     -77.45       2.37       0.00       0.00       0.95       2.24       0.71    8.104  '/tmp/tmp5ahV_7/gold_soln_actives_final_m6_3.mol2'             'CHEMBL577134'
     78.83     -76.85       1.97       0.00       0.00       0.00       2.60       0.76    8.392  '/tmp/tmp5ahV_7/gold_soln_actives_final_m7_1.mol2'             'CHEMBL575824'
     81.31     -80.81       0.74       0.29       0.00       0.15       1.86       1.30   10.480  '/tmp/tmp5ahV_7/gold_soln_actives_final_m8_2.mol2'             'CHEMBL577379'
     87.89     -89.54       0.00       0.00       0.00       0.00       1.46       1.22   10.144  '/tmp/tmp5ahV_7/gold_soln_actives_final_m9_2.mol2'             'CHEMBL577379'
     86.29     -89.74       0.00       0.14       0.00       0.00       2.67       0.89   11.020  '/tmp/tmp5ahV_7/gold_soln_actives_final_m10_2.mol2'             'CHEMBL573096'
     89.17     -86.54       0.28       2.25       0.00       0.37       2.71       0.85   10.928  '/tmp/tmp5ahV_7/gold_soln_actives_final_m11_5.mol2'             'CHEMBL573096'
