,name,rmsd,smiles
0,MolPort-009-490-458 CSC026265184 MCULE-8153805116 PubChem-42893758,0.666994393,[C][C](OC1=[C][C]=C(F)[C]=[C]1)C(=O)[N]C1=[C][C]=C2[N]C(=O)[N]C2=[C]1
1,MolPort-002-166-624 CHEMBL3210100 PubChem-9567177 ZINC000005030045 ZINC05030045,0.556465387,[C][C]C1=[C]C2=C([N]C3=C2N=NC(=N3)[N]N=[C]C2=[C]C(=[C][C]=[C]2)[O])[C]=[C]1
2,MolPort-044-728-743,0.524269104,[C]N([C][C]([O])C1=[C][C]=C([O])[C]=[C]1)C(=O)C1=N[N]C2=C1[C]OC1=[C][C]=[C][C]=C21
3,MolPort-005-978-767 PubChem-17603704,0.751432478,[C]C1=C2[C](N([C][C]C3=[C][N]C4=[C][C]=[C][C]=C34)C(=O)C2=N[N]1)C1=[C][C]=C([O])[C]=[C]1
4,MolPort-005-950-307 MCULE-7217392723 ZINC000012530140,0.8758744,FC1=[C][C]=C([C]=[C]1)C1=NOC(=N1)[C]1[C]C2=C([C]N1C(=O)[N]C1=[C][C]=C(Cl)[C]=[C]1)N=[C][N]2
5,MolPort-044-634-313 CSC077895107 PubChem-132330672,0.726654947,[C]C1=C(N=NN1[C]C1=[C][C]=C(F)[C]=[C]1)C(=O)[N]C1=[C][C]=C2[C][N][C][C]C2=C1F
6,MolPort-005-950-197 MCULE-8690266926 ZINC000015675862,0.875908434,ClC1=[C][C]=C([C]=[C]1)C1=NOC(=N1)[C]1[C]C2=C([C]N1C(=O)[N][C]1[C][C][C][C][C]1)N=[C][N]2
7,MolPort-035-741-721 CSC026530426 MCULE-6513748571,0.704709828,[C]C1=[C][C]=C([C]=[C]1)N1N=NC(=C1[C])C(=O)[N]C1=[C][C]=[C][C]=C1N1[C][C][C]([O])[C][C]1
8,MolPort-020-216-410 CHEMBL3480891 MCULE-2964834742 PubChem-56874558,0.716619909,[C]C1=NC(=C([C]=[C]1)C1=NC(=N[C]=[C]1)[N][C][C]([O])C1=[C][C]=C([O])[C]=[C]1)[C]
9,MolPort-009-281-154 CSC028075028 MCULE-8110739320 PubChem-34070491 ZINC000026785939 ZINC26785939,0.524776816,[N]C(=O)C1=[C]C(=[C][C]=C1Cl)[N][C]C1=NC(=NO1)C1=[C][C]=[C]C(=[C]1)Br
10,MolPort-005-950-169 MCULE-3682352337 ZINC000015675806,0.876525462,[C]C1=[C][C]=C([C]=[C]1)C1=NOC(=N1)[C]1[C]C2=C([C]N1C(=O)[N][C]1[C][C][C][C][C]1)N=[C][N]2
11,MolPort-000-857-728 CSC046244758 MCULE-7325642695 PubChem-16408725 ZINC000012897137 ZINC12897137,0.767453909,[C]C1=[C]C(=O)OC2=[C]C(=[C][C]=C12)O[C]C(=O)[N]C1=[C][C]=C2[N][C]=[C]C2=[C]1
12,MolPort-005-950-168 MCULE-5267304899 ZINC000015675804,0.875763953,[C]C1=[C][C]=C([C]=[C]1)C1=NOC(=N1)[C]1[C]C2=C([C]N1C(=O)[N]C1=[C][C]=C(Cl)[C]=[C]1)N=[C][N]2
13,MolPort-009-490-427 CSC026266068 MCULE-1015835172 PubChem-42885145,0.664354742,[C][C](OC1=[C][C]=C([C])[C]=[C]1)C(=O)[N]C1=[C][C]=C2[N]C(=O)[N]C2=[C]1
14,MolPort-009-288-245 CSC027978567 MCULE-3987499853 PubChem-45877959,0.7455948,ClC1=[C][C]=C(Cl)C(=[C]1)C(=O)N1[C][C][C][C]1C(=O)[N]C1=[C][C]=C2[N]C(=O)[N]C2=[C]1
15,MolPort-028-783-176 CSC026965933 MCULE-6358355882 ZINC000095981482 ZINC95981482,0.689014077,[O]C1=C(Cl)[C]=C([N]C(=O)C2=[C]N([C]C3=[C][C]=[C]C(=[C]3)F)N=N2)[C]=C1Cl
16,MolPort-005-587-283 CSC027104835 MCULE-4143217866 PubChem-17565582,0.592824578,[C][C](N1[C][C]C(=[C][C]1)C1=[C][C]=[C][C]=[C]1)C(=O)[N]C1=[C][C]=C2[N]C(=O)[N]C2=[C]1
17,MolPort-023-162-526 CSC027575105 MCULE-2816177103 PubChem-72125926 ZINC000076040680 ZINC76040680,0.778073728,[C]C1=[C][C]=C([C]=[C]1)C1=C(N=[C]O1)C(=O)[N]C1=[C][C]=C(F)C(=[C]1)C([N])=O
18,MolPort-030-021-090 CSC027561889 MCULE-8848269725 PubChem-86791279,0.784137309,BrC1=[C]N2N=C([N]C(=O)[N]C3=[C][N]N=[C]3)N=C2[C]=[C]1
19,MolPort-039-027-345 PubChem-91894477,0.523322165,[N]C(=O)C1=[C][C]=C([N]C(=O)C2=NN3[C][C](O[C]C3=[C]2)C2=[C][C]=C(F)[C]=[C]2)[C]=[C]1
20,MolPort-002-196-039 CHEMBL1511190 MCULE-4952041846 PubChem-2895747,0.392289996,[C]C1=[C][C]=[C]C(=N1)[N][C](C1=[C][C]=C([O])[C]=[C]1)C1=[C][C]=C2[C]=[C]C(=NC2=C1[O])[C]
21,MolPort-009-431-252 CSC027275089 MCULE-9407760160,0.430116683,[C][C](OC1=[C]C(=[C][C]=[C]1)[C])C(=O)[N]C1=C(F)[C]=C2N=[C][N]C(=O)C2=[C]1
