,ID,rmsd,score
0,ID 0,9.734279214175947,55.5659
1,ID 1,9.272646716810343,51.8356
2,ID 2,6.863416127505632,50.9606
3,ID 3,9.102771916612046,49.4816
4,ID 4,8.65941847487485,48.0715
5,ID 5,9.486680526914784,48.0115
6,ID 6,8.257342573359535,47.9186
7,ID 7,8.491897041329038,47.5923
8,ID 8,5.957811703040037,45.6898
9,ID 9,5.768642246296196,44.9622
10,ID 10,6.029947309100061,44.537
11,ID 11,9.748921558257061,44.4569
12,ID 12,5.478448750477081,44.0097
13,ID 13,7.850386341012156,43.8835
14,ID 14,6.817942512077914,43.8093
15,ID 15,6.223317875053635,43.2318
16,ID 16,8.966575371926547,43.0517
17,ID 17,8.667308179107772,43.0246
18,ID 18,6.502474232162628,42.7044
19,ID 19,6.789820915232541,40.2281
20,ID 20,7.048465741149684,39.177
21,ID 21,6.525018579331561,38.1932
22,ID 22,7.80434752312864,37.9259
23,ID 23,7.019261047606853,36.3941
24,ID 24,6.915414512349213,33.0335
