,ID,rmsd,score
0,ID 0,4.649232779489738,56.9019
1,ID 1,6.0408949602957005,54.1672
2,ID 2,8.713923370098401,50.1278
3,ID 3,8.900342074627469,49.9586
4,ID 4,9.321152369316206,49.7914
5,ID 5,6.728267240224168,49.3353
6,ID 6,8.786528598138378,47.2461
7,ID 7,6.004083041605306,47.0763
8,ID 8,5.491689539005688,46.9402
9,ID 9,6.6030503386768205,46.8376
10,ID 10,7.274006860278715,45.5028
11,ID 11,8.901930676960625,45.4276
12,ID 12,6.196187892759409,44.1118
13,ID 13,5.059677684544891,42.3511
14,ID 14,8.712192990488658,42.2542
15,ID 15,7.660477391426156,42.1609
16,ID 16,7.473251852822144,41.399
17,ID 17,6.217816844786947,40.8777
18,ID 18,8.623768682875246,40.8674
19,ID 19,8.19626581873492,40.6625
20,ID 20,6.805318132538327,40.0105
21,ID 21,5.868187230514877,39.382
22,ID 22,6.264102090393057,38.9194
23,ID 23,6.355565889490811,38.2337
24,ID 24,6.568990390834313,37.2337
