,ID,rmsd,score
0,ID 0,2.4029263758613313,16.6877019963
1,ID 1,3.12364230378341,15.910702057
2,ID 2,8.826428214034284,15.8462340274
3,ID 3,8.658003887859993,15.697574372
4,ID 4,8.272999449014833,15.3338084322
5,ID 5,9.032213257946685,15.2332766107
6,ID 6,7.305486079934069,15.0813403231
7,ID 7,8.461707177496898,15.0352764814
8,ID 8,8.138683837415327,14.9037233261
9,ID 9,8.087779395568234,14.8612340156
10,ID 10,7.953825883350588,14.7113828101
11,ID 11,8.497719555431644,14.6196381995
12,ID 12,8.759244815113046,14.5103616512
13,ID 13,4.9682389851308635,14.1724041792
14,ID 14,4.935647311437431,14.0984255659
15,ID 15,5.113327956968454,13.6282978768
16,ID 16,8.53478622995377,13.3597021972
17,ID 17,8.357563673144945,13.295829707
18,ID 18,8.44591888794522,13.2805105346
19,ID 19,5.841785275714015,13.1569147414
20,ID 20,7.9653025666541595,13.0327872368
21,ID 21,8.86562638730962,11.3086808945
22,ID 22,6.098310193774224,11.1738510309
23,ID 23,9.362752786272988,11.1442978163
24,ID 24,6.29033773332799,11.0476595404
