,ID,rmsd,score
0,ID 0,7.353971195631968,64.1914
1,ID 1,6.6685514831513455,63.9604
2,ID 2,6.881439845867502,56.0874
3,ID 3,7.39045416535576,52.6823
4,ID 4,7.431944153548003,52.0428
5,ID 5,7.612308134469421,49.7222
6,ID 6,8.44173680848865,48.6961
7,ID 7,9.718212589522834,48.3687
8,ID 8,7.123861748308237,47.7065
9,ID 9,9.498511540583328,47.0951
10,ID 10,7.285524234646225,46.7758
11,ID 11,7.91105642150059,45.3594
12,ID 12,13.354028811717312,45.0273
13,ID 13,12.092368913375697,43.9187
14,ID 14,7.840889385351619,43.5742
15,ID 15,12.400658349046836,42.5373
16,ID 16,11.959120996137619,40.7806
17,ID 17,10.309646881745268,40.5515
18,ID 18,11.384010411723647,39.5264
19,ID 19,12.116378614251685,38.6343
20,ID 20,12.424170319946336,36.3051
21,ID 21,11.780290779792706,35.8025
22,ID 22,9.144722123823765,35.6221
23,ID 23,8.404958649781639,35.0748
24,ID 24,18.775890153993547,31.0133
