,ID,rmsd,score
0,ID 0,6.0532520306151865,13.8250650051
1,ID 1,6.483936435114387,13.3521643235
2,ID 2,6.442191594773608,13.3155244669
3,ID 3,6.7138264934726815,13.1208370163
4,ID 4,6.391276615240831,12.9826374551
5,ID 5,6.1292872884015,12.9335667449
6,ID 6,6.818682246872491,12.9239644163
7,ID 7,7.601806848247445,12.7376753201
8,ID 8,7.379292592544544,12.6486651455
9,ID 9,7.761892469026558,12.6146117677
10,ID 10,6.4425263550910215,12.5560312159
11,ID 11,6.402321857476066,12.5543317325
12,ID 12,7.553521558194918,12.3095016615
13,ID 13,7.108159533175359,12.24947953
14,ID 14,8.356209533149599,12.0086894359
15,ID 15,8.463778213127782,11.7788127207
16,ID 16,10.761346283729184,11.5177217829
17,ID 17,9.23549907536473,11.2833576916
18,ID 18,7.384603156827068,10.9357040796
19,ID 19,7.720720633416963,10.2204962598
20,ID 20,9.164357165171774,8.25065166143
21,ID 21,9.260902644507565,7.94000386145
22,ID 22,8.183753650441142,7.77110880645
23,ID 23,10.534123705233567,6.77883377473
24,ID 24,13.81861264572497,5.91116992529
