,ID,rmsd,score
0,ID 0,2.7981808393085768,16.9334467218
1,ID 1,8.10386016490641,15.5840425288
2,ID 2,7.847143587486766,15.5717232887
3,ID 3,8.53643112526764,15.535978784
4,ID 4,8.710007165193542,15.499212752
5,ID 5,7.982499041229571,15.2561488862
6,ID 6,8.557237206267233,15.2504680131
7,ID 7,7.826152005356299,14.628702151
8,ID 8,8.09142215941362,14.4728509315
9,ID 9,8.677492269763226,14.1499361079
10,ID 10,8.172013193006602,13.8646382981
11,ID 11,5.562378056677327,13.5215955795
12,ID 12,8.569394740781286,13.4928722787
13,ID 13,9.194657671246128,13.4863829156
14,ID 14,8.555089883829634,13.4214255556
15,ID 15,5.887897639404824,13.4086595799
16,ID 16,5.871818863578534,13.2409146999
17,ID 17,8.370323560007016,13.1060212673
18,ID 18,9.032923344236153,12.8410424222
19,ID 19,8.468721443159456,12.8394255131
20,ID 20,6.530446590128436,11.9611488631
21,ID 21,8.790796629021616,11.9588935699
22,ID 22,8.733702379166536,11.6164680745
23,ID 23,8.90715623800346,11.5335319651
24,ID 24,9.044909253614431,10.9983191795
