1A2C,34H,c1cc(ccc1C[C@H](C(=O)O)O)O
1A2C,OAR,[H]/N=C(/N)\NCCC[C@@H](CO)N
1A2C,PRJ,C1C[C@H](C[C@H]2[C@@H]1C[C@H](N2)C(=O)O)O
1A3B,T29,B([C@H](CCCSC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)NC(=O)CC)(O)O
1A3E,T16,B([C@H](CCC(Br)Br)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccccc2)NC(=O)CCCC=O)(O)O
1A46,00K,c1ccc(cc1)C[C@@]2(CC[N@@]3CC[C@H](N3C2=O)C(=O)N[C@@H](CCCCN)[C@@H](C(=O)NC4CCCCC4)O)N
1A4W,QWE,CN(C)c1cccc2c1cccc2S(=O)(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N3CCCC[C@@H]3CCC(=O)c4nccs4
1A5G,00L,[H]/N=C(\N)/NCCC[C@@H]([C@@H](C(=O)NCCc1ccccc1)O)NC(=O)[C@@H]2CCN3N2C(=O)[C@@](CC3)(Cc4ccccc4)N
1A61,00N,c1ccc(cc1)C[C@@]2(CC[N@@]3CC[C@H](N3C2=O)C(=O)N[C@@H](CCCNC(=N)N)[C@@H](c4nccs4)O)N
1ABJ,0G6,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=[NH2+])N)[C@@H](CCl)O)N
1AD8,MDL,CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)C(C(F)(F)F)(F)F
1AE8,AZL,CCOC(=O)N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NNCCCCN
1AFE,ALZ,c1ccc(cc1)COC(=O)N2CCC[C@H]2C(=O)NNCCCCN
1AHT,APA,[H]/N=C(/c1ccc(cc1)C[C@@H](C(=O)O)O)\N
1AI8,T42,B([C@H](CCCOC)NC(=O)c1cccn1C(=O)[C@@H](C(c2ccccc2)c3ccccc3)N[C@@H](N4CCOCC4)O)(O)O
